,PhysicalDisk % Disk Write Time,Memory Standby Cache Normal Priority Bytes,System Alignment Fixups/sec,System File Data Operations/sec,Memory Pool Nonpaged Bytes,PhysicalDisk % Disk Read Time,Memory Modified Page List Bytes,Network Interface Packets Sent/sec,Memory Pool Paged Resident Bytes,Memory Modified Page List Bytes,Memory Pool Nonpaged Bytes,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,System System Calls/sec,Memory Available Bytes,Network Interface Packets Received Non-Unicast/sec,Process Virtual Bytes,Memory Standby Cache Core Bytes,Memory Demand Zero Faults/sec,Memory Page Reads/sec,Class
0,20849000,188755968,0,134026,23986176,2661108000,12431360,3780,99180544,12431360,23986176,76228,56076,7723009,211828736,1,4722409472,0,568566,94033,Yanker
1,21157000,189997056,0,134451,23994368,2668278000,12926976,3805,99176448,12926976,23994368,76272,56465,7884072,208654336,1,4724600832,0,569034,94212,Yanker
2,21604000,194883584,0,134818,23990272,2678460000,11993088,3835,99147776,11993088,23990272,75660,56104,8045606,205275136,1,4763754496,0,569854,94438,Yanker
3,22033000,192876544,0,135354,24010752,2685796000,11952128,3862,99160064,11952128,24010752,75766,56359,8177024,192876544,1,4873031680,0,575886,94690,Yanker
4,22260000,160935936,0,137375,23994368,2693316000,37949440,3882,99217408,37949440,23994368,75674,56580,8298910,160935936,1,4880400384,0,576394,95247,Yanker
5,27177000,149323776,0,141697,24059904,2715956000,12455936,3914,98902016,12455936,24059904,74139,55043,8394067,237727744,1,4539432960,0,577866,95459,Yanker
6,28932000,151146496,0,142089,24039424,2743771000,11296768,3932,98959360,11296768,24039424,74038,53283,8482956,237727744,1,4537147392,0,578675,95667,Yanker
7,29423000,152674304,0,142617,23941120,2760645000,11300864,3990,98811904,11300864,23941120,73373,53404,8561210,233598976,1,4537171968,0,579158,95997,Yanker
8,29685000,155508736,0,143328,23937024,2774764000,11296768,4135,98598912,11296768,23937024,72788,53420,8663146,230821888,1,4537286656,0,580101,96252,Yanker
9,29884000,154947584,0,143767,23937024,2779322000,11296768,4193,98566144,11296768,23937024,72588,53886,8777448,229093376,1,4536266752,0,580567,96409,Yanker
10,29886000,155713536,0,144295,23937024,2781083000,11296768,4269,98471936,11296768,23937024,72607,53828,8921845,228724736,1,4535955456,0,580959,96720,Yanker
11,29886000,157032448,0,144889,23937024,2782502000,11452416,4353,98471936,11452416,23937024,72709,53836,9071563,229359616,1,4535644160,0,581243,97119,Yanker
12,29886000,158896128,0,145480,23941120,2783861000,11341824,4463,98471936,11341824,23941120,72640,53842,9225768,228122624,1,4538789888,0,582573,97533,Yanker
13,30000000,159068160,0,146012,23937024,2786328000,10317824,4520,98422784,10317824,23937024,72653,53833,9365498,226484224,1,4540887040,0,583439,97847,Yanker
14,32116000,159064064,0,146426,24088576,2796052000,10285056,4543,98426880,10285056,24088576,72633,52792,9464883,222416896,1,4544585728,0,583800,98087,Yanker
15,32524000,160989184,0,146873,23949312,2804280000,9236480,4592,98430976,9236480,23949312,72678,52727,9572654,225857536,1,4538343424,0,584116,98360,Yanker
16,32680000,163688448,0,147387,23941120,2804935000,8318976,4698,98430976,8318976,23941120,72620,52703,9755383,227540992,1,4538343424,0,584534,98457,Yanker
17,32693000,162791424,0,147712,23941120,2805624000,8769536,4720,98430976,8769536,23941120,72646,52712,9934894,226623488,1,4537606144,0,584879,98480,Yanker
18,32821000,162746368,0,148127,23945216,2807711000,6651904,4749,98422784,6651904,23945216,72950,52742,10095559,232648704,1,4539490304,0,585528,98542,Yanker
19,32972000,164745216,0,148564,23953408,2808438000,5173248,4813,98414592,5173248,23953408,73369,52636,10290084,236744704,1,4501291008,0,585885,98625,Yanker
20,33111000,162615296,0,149009,23949312,2808980000,5144576,4870,98414592,5144576,23949312,73786,52614,10468286,235814912,1,4501291008,0,586163,98705,Yanker
21,33239000,160526336,0,149346,23945216,2809479000,4042752,4889,98414592,4042752,23945216,73866,52632,10644626,234217472,1,4499357696,0,586447,98792,Yanker
22,33239000,158789632,0,149667,23945216,2810094000,4030464,4909,98414592,4030464,23945216,74345,52629,10824644,231550976,1,4500668416,0,586677,98868,Yanker
23,33381000,157351936,0,150061,23945216,2810955000,2977792,4960,98418688,2977792,23945216,75020,52695,11007054,229879808,1,4510068736,0,587046,98952,Yanker
24,33381000,157356032,0,150409,23945216,2811295000,3063808,4978,98422784,3063808,23945216,75739,52825,11191942,230006784,1,4506398720,0,587331,99009,Yanker
25,33484000,157921280,0,150945,23945216,2811619000,2011136,5061,98394112,2011136,23945216,76244,52910,11379698,225812480,1,4513501184,0,589500,99055,Yanker
26,33534000,157429760,0,151343,23945216,2812462000,987136,5110,98394112,987136,23945216,76229,52908,11565716,229281792,1,4514312192,0,589720,99082,Yanker
27,33561000,157896704,0,151816,23945216,2812858000,991232,5213,98406400,991232,23945216,76580,52908,11730991,228683776,1,4515983360,0,590384,99100,Yanker
28,33904000,160813056,0,152321,23945216,2813794000,159744,5296,98443264,159744,23945216,76494,52827,11910998,233353216,1,4499845120,0,590834,99133,Yanker
29,34666000,163876864,0,152955,23945216,2814483000,176128,5374,98463744,176128,23945216,76695,52848,12071290,234758144,1,4499210240,0,591544,99175,Yanker
30,34842000,161275904,0,153511,23945216,2814996000,167936,5482,98459648,167936,23945216,76602,52830,12225982,232423424,1,4500774912,0,592279,99175,Yanker
31,34842000,158302208,0,153927,23945216,2814996000,172032,5531,98451456,172032,23945216,76492,52839,12383287,227344384,1,4508323840,0,594719,99175,Yanker
32,35497000,158969856,0,154189,23949312,2817012000,135168,5538,98500608,135168,23949312,76752,52898,12532922,217227264,1,4571901952,0,596391,99257,Yanker
33,35539000,161480704,0,154432,23973888,2817133000,147456,5539,98484224,147456,23973888,76820,52865,12689597,220008448,1,4505231360,0,596799,99273,Yanker
34,35591000,159985664,0,154780,23949312,2817522000,126976,5573,98471936,126976,23949312,76989,52911,12867131,225710080,1,4503126016,0,597045,99310,Yanker
35,35711000,160452608,0,155116,23969792,2817732000,196608,5620,98471936,196608,23969792,77309,52988,13040626,225984512,1,4503126016,0,597189,99312,Yanker
36,35852000,159350784,0,155408,23949312,2818031000,237568,5634,98566144,237568,23949312,77680,53040,13229798,224555008,1,4501823488,0,597464,99312,Yanker
37,35900000,158019584,0,155669,23945216,2818328000,237568,5638,98557952,237568,23945216,77918,53058,13411089,223092736,1,4502601728,0,597484,99325,Yanker
38,35900000,156164096,0,155924,23945216,2818454000,245760,5639,98578432,245760,23945216,78104,53144,13582879,225333248,1,4503126016,0,597730,99337,Yanker
